,Loc ID,Accuracy,n_in,n_out,n_gt
0,9061200_5690800,0.0,0,0,1
1,8493200_5774800,0.11764705882352941,14,105,567
2,9377200_5525600,0.0,0,3,11
3,9298000_5556400,0.0,0,6,17
4,8492000_5775200,0.0,0,4,11
5,9366400_5525600,0.23595505617977527,21,68,46
6,8496000_5773200,0.19487179487179487,38,157,228
7,8953200_5840800,0.13432835820895522,9,58,365
8,9146800_5818800,0.0743801652892562,9,112,259
9,8590800_5530000,0.25,1,3,378
10,8814400_5994000,0.0,0,65,105
11,8494000_5768000,0.13548387096774195,21,134,378
12,9054800_5682800,0.07142857142857142,1,13,50
13,9067600_5682800,0.0,0,7,31
14,8586800_5536800,0.14163090128755365,33,200,474
15,8593200_5631200,0.125,11,77,189
16,8290000_5496800,0.0975609756097561,12,111,88
17,9278000_5863200,0.09923664122137404,13,118,218
18,8333600_5491200,0.03571428571428571,2,54,10
19,8827600_5994800,0.3333333333333333,9,18,17
20,8582800_5540400,0.13513513513513514,10,64,91
21,8494400_5774400,0.1130952380952381,19,149,519
22,9364400_5522400,0.057692307692307696,3,49,32
23,8289600_5496800,0.0958904109589041,14,132,101
24,8287600_5498800,0.055865921787709494,10,169,435
25,8289200_5493200,0.18556701030927836,18,79,29
26,9067600_5680800,0.08641975308641975,7,74,156
27,9153600_5814400,0.1016949152542373,6,53,110
28,9071200_5683200,0.0,0,0,130
29,9062000_5686400,0.19402985074626866,13,54,70
30,8590000_5537600,0.017241379310344827,1,57,76
31,9057200_5688800,0.025,1,39,155
32,9268800_5668000,0.0,0,7,2
33,9066400_5686400,0.13157894736842105,5,33,86
34,8290400_5494800,0.03007518796992481,4,129,344
35,8494800_5772800,0.21875,42,150,282
36,9066000_5677200,0.06666666666666667,1,14,44
37,9064000_5680400,0.0875,7,73,77
38,9057600_5682800,0.11627906976744186,5,38,132
39,9302400_5561200,0.05405405405405406,6,105,310
40,8336800_5492800,0.0055248618784530384,1,180,11
41,9067200_5687600,0.0,0,4,32
42,8507200_5767200,0.07017543859649122,4,53,112
43,8494000_5774800,0.06338028169014084,9,133,561
44,9064800_5678000,0.25,1,3,18
45,8492000_5768000,0.16891891891891891,25,123,104
46,9054400_5684000,0.125,5,35,12
47,9602400_6072800,0.07608695652173914,7,85,88
48,8338400_5491600,0.01639344262295082,2,120,1
49,9363600_5529200,0.07142857142857142,9,117,379
50,8590000_5540800,0.09448818897637795,12,115,486
51,8820800_5995200,0.0,0,3,8
52,9068400_5685600,0.0,0,5,13
53,9070800_5689600,0.0,0,20,35
54,8491200_5776400,0.0,0,1,4
55,9273600_5872000,0.0,0,24,67
56,9145600_5821600,0.0,0,0,94
57,9157600_5814000,0.011627906976744186,1,85,217
58,8826400_5996000,0.0,0,5,34
59,9154400_5812000,0.02631578947368421,1,37,228
60,8493600_5768400,0.10714285714285714,15,125,187
61,9147600_5814800,0.0,0,14,119
62,9065600_5680400,0.0851063829787234,4,43,67
63,9150400_5820000,0.11194029850746269,15,119,116
64,8369200_5550400,0.038461538461538464,7,175,32
65,8495600_5780400,0.0625,5,75,227
66,9062000_5682800,0.27358490566037735,29,77,89
67,8491200_5772000,0.10377358490566038,11,95,374
68,9068000_5683200,0.02857142857142857,1,34,103
69,8812400_5993200,0.25,3,9,9
