Step,l_g_gan,l_g_pix,l_g_percep,l_d_real,l_d_fake,out_d_fake,out_d_real,,,,
100,0.027038049,0.001145963,1.51699996,0.049408901,0.024886524,-10.32546902,-4.992154121,,,,
200,0.049788974,0.001145803,1.448331475,5.05E-05,0.000129028,-10.33391285,-0.376297444,,,,
300,0.023134267,0.001126994,1.555208683,0.013985154,0.011207523,-15.32970047,-10.72803974,,,,
400,0.028239734,0.00122804,1.544190884,0.040013839,0.12553668,3.66519165,9.147587776,,,,
500,0.048398763,0.001115018,1.564670086,0.000132492,0.000295938,-9.435129166,0.24419485,,,,
600,0.017280947,0.001098792,1.476388931,0.097267136,0.09520153,-3.334933519,-0.071212381,,,,
700,0.029342286,0.001220828,1.580958009,0.015347556,0.015097638,1.675022006,7.513034344,,,,
800,0.038204491,0.001121623,1.582788706,0.001682394,0.001570461,-23.53348351,-15.89583874,,,,
900,0.037723795,0.001231809,1.525285125,0.000401401,0.000368762,-3.864296675,3.679691792,,,,
1000,0.035919733,0.001003367,1.469489098,0.000424963,0.00044238,-19.68216705,-12.49908733,,,,
1100,0.018096939,0.001078135,1.361516953,0.019610308,0.017828152,-15.39279842,-11.81084824,,,,
1200,0.022743799,0.001094198,1.497655392,0.006152089,0.006899237,9.974045753,14.50975418,,,,
1300,0.013274607,0.001192264,1.518645525,0.042911299,0.044448022,-21.01551247,-18.44795036,,,,
1400,0.014737975,0.00101249,1.377483368,0.070925556,0.068995371,5.252168655,8.059843063,,,,
1500,0.031181097,0.00112585,1.529211044,0.001218951,0.001416729,-68.44269562,-62.20911407,,,,
1600,0.006419097,0.000991191,1.497985005,0.211680681,0.211078197,-50.11997223,-49.25891495,,,,
1700,0.031437807,0.001037751,1.41947341,0.001223054,0.001202309,-24.72552109,-18.44038582,,,, 
1800,0.030691184,0.001095355,1.411734104,0.001721088,0.001685447,-31.20749092,-25.07266045,,,,
1900,0.046570741,0.001204275,1.515881538,0.000203274,0.000304615,-76.07324219,-66.75960541,,,,
2000,0.020281037,0.001215132,1.467390656,0.035595067,0.034618217,-65.60675812,-61.62076569,,,,
2100,0.022654239,0.001175679,1.402902126,0.013606686,0.014182658,-43.67358398,-39.1705246,,,,
2200,0.013890419,0.001109917,1.555548787,0.038017858,0.037966985,-64.3977356,-61.69564056,,,,
2300,0.023330418,0.001033954,1.38525486,0.008161676,0.007515017,-64.39102173,-59.74061584,,,,
2400,0.039693557,0.001008096,1.387794733,0.000200691,0.000194823,-61.96672821,-54.02841187,,,,
2500,0.026936639,0.001163728,1.52036953,0.004712135,0.004090456,-40.81129456,-35.43276978,,,,
2600,0.016866015,0.001049568,1.561818361,0.035142452,0.033731461,10.53334713,13.837677,,,,
2700,0.02249402,0.00091126,1.441082478,0.008927624,0.010017279,4.819666862,9.299526215,,,,
2800,0.006651608,0.001029424,1.360049129,0.225887313,0.223246545,-46.58508301,-45.70389557,,,,
2900,0.007590832,0.001004022,1.464818478,0.500595808,0.50207442,-33.65372086,-33.13822556,,,,
3000,0.023215534,0.001015469,1.536935925,0.007919332,0.008062,-26.92832756,-22.30120087,,,,
3100,0.019650377,0.00111507,1.421603203,0.018657792,0.016700011,-16.5173378,-12.62261868,,,,
3200,0.009504599,0.000996553,1.416959047,0.090777531,0.088334084,-55.93659592,-54.21478653,,,,
3300,0.018611833,0.000972609,1.37555933,0.056858227,0.054355752,-52.93218613,-49.32103348,,,,
3400,0.020445731,0.001119936,1.523722887,0.109519154,0.114054643,-42.53607941,-38.67050934,,,,
3500,0.008917826,0.001076413,1.464511633,0.102111235,0.106413424,-7.743442059,-6.168401718,,,,
3600,0.084226653,0.000928757,1.484450102,2.61E-08,2.61E-08,-24.62729263,-7.781960487,,,,
3700,0.019864129,0.001099893,1.557083368,0.015141611,0.018472491,36.26010895,40.19931793,,,,
3800,0.009777497,0.001083344,1.398036003,0.279597133,0.289473951,23.44226837,24.8286953,,,,
3900,0.016051572,0.001051609,1.4697932,0.022887465,0.022297272,-52.10993195,-48.94480133,,,,
4000,0.031425968,0.001032616,1.376776695,0.00422554,0.004366036,-46.51121521,-40.23461533,,,,
4100,0.025109477,0.00104633,1.434118986,0.004554203,0.004289628,-4.83544445,0.177607358,,,,
4200,0.024319503,0.00117239,1.415134311,0.021855103,0.023121569,-19.47499847,-14.65607262,,,,
4300,0.018221125,0.001004627,1.440437675,0.01617695,0.017062191,-8.766862869,-5.155877113,,,,
