,Loc ID,Accuracy,n_in,n_out,n_gt
0,9061200_5690800,0.0,0,0,1
1,8493200_5774800,0.12605042016806722,15,104,567
2,9377200_5525600,0.0,0,2,11
3,9298000_5556400,0.0,0,8,17
4,8492000_5775200,0.25,1,3,11
5,9366400_5525600,0.2191780821917808,16,57,46
6,8496000_5773200,0.21153846153846154,33,123,228
7,8953200_5840800,0.05405405405405406,4,70,365
8,9146800_5818800,0.11827956989247312,11,82,259
9,8590800_5530000,0.0,0,3,378
10,8814400_5994000,0.06153846153846154,4,61,105
11,8494000_5768000,0.20710059171597633,35,134,378
12,9054800_5682800,0.15384615384615385,2,11,50
13,9067600_5682800,0.0,0,9,31
14,8586800_5536800,0.19306930693069307,39,163,474
15,8593200_5631200,0.12222222222222222,11,79,189
16,8290000_5496800,0.2,23,92,88
17,9278000_5863200,0.031578947368421054,3,92,218
18,8333600_5491200,0.0,0,49,10
19,8827600_5994800,0.25,7,21,17
20,8582800_5540400,0.2857142857142857,12,30,91
21,8494400_5774400,0.11409395973154363,17,132,519
22,9364400_5522400,0.2037037037037037,11,43,32
23,8289600_5496800,0.12307692307692308,16,114,101
24,8287600_5498800,0.07222222222222222,13,167,435
25,8289200_5493200,0.25,23,69,29
26,9067600_5680800,0.10975609756097561,9,73,156
27,9153600_5814400,0.12195121951219512,5,36,110
28,9071200_5683200,0.0,0,0,130
29,9062000_5686400,0.13333333333333333,10,65,70
30,8590000_5537600,0.06382978723404255,3,44,76
31,9057200_5688800,0.0,0,23,155
32,9268800_5668000,0.0,0,0,2
33,9066400_5686400,0.14285714285714285,3,18,86
34,8290400_5494800,0.0425531914893617,6,135,344
35,8494800_5772800,0.2222222222222222,36,126,282
36,9066000_5677200,0.05263157894736842,1,18,44
37,9064000_5680400,0.17857142857142858,10,46,77
38,9057600_5682800,0.14814814814814814,8,46,132
39,9302400_5561200,0.09782608695652174,9,83,310
40,8336800_5492800,0.0,0,150,11
41,9067200_5687600,0.0,0,2,32
42,8507200_5767200,0.08163265306122448,4,45,112
43,8494000_5774800,0.05673758865248227,8,133,561
44,9064800_5678000,0.1,1,9,18
45,8492000_5768000,0.15151515151515152,20,112,104
46,9054400_5684000,0.12244897959183673,6,43,12
47,9602400_6072800,0.0625,5,75,88
48,8338400_5491600,0.031914893617021274,3,91,1
49,9363600_5529200,0.07865168539325842,7,82,379
50,8590000_5540800,0.11009174311926606,12,97,486
51,8820800_5995200,0.3333333333333333,1,2,8
52,9068400_5685600,0.0,0,3,13
53,9070800_5689600,0.07692307692307693,1,12,35
54,8491200_5776400,0.0,0,0,4
55,9273600_5872000,0.07142857142857142,1,13,67
56,9145600_5821600,0.0,0,0,94
57,9157600_5814000,0.0,0,53,217
58,8826400_5996000,0.0,0,7,34
59,9154400_5812000,0.11428571428571428,4,31,228
60,8493600_5768400,0.22556390977443608,30,103,187
61,9147600_5814800,0.2,1,4,119
62,9065600_5680400,0.05405405405405406,2,35,67
63,9150400_5820000,0.13675213675213677,16,101,116
64,8369200_5550400,0.050724637681159424,7,131,32
65,8495600_5780400,0.09900990099009901,10,91,227
66,9062000_5682800,0.2830188679245283,15,38,89
67,8491200_5772000,0.08490566037735849,9,97,374
68,9068000_5683200,0.030303030303030304,1,32,103
69,8812400_5993200,0.5,7,7,9
70,9063200_5680400,0.0821917808219178,6,67,70
71,9059200_5691600,0.03508771929824561,2,55,277
72,8332800_5494000,0.0,0,44,174
73,8490400_5775600,0.12307692307692308,16,114,374
74,9067600_5688400,0.0,0,0,4
75,9066800_5684000,0.0,0,1,7
76,8334800_5494800,0.0,0,12,1
77,8492800_5776800,0.09523809523809523,12,114,292
78,8371200_5550800,0.0,0,34,1
79,9370800_5522800,0.125,13,91,119
80,8290000_5498000,0.08823529411764706,9,93,264
81,9054400_5681200,0.0,0,12,54
82,8287600_5497200,0.09821428571428571,11,101,337
83,9154800_5812000,0.07865168539325842,7,82,481
84,9368000_5530000,0.06329113924050633,5,74,107
85,9378800_5528400,0.0,0,20,41
86,9372000_5528800,0.0625,2,30,112
87,8818000_5996000,0.16666666666666666,10,50,146
88,9061600_5680400,0.07246376811594203,5,64,181
89,8491200_5768400,0.10483870967741936,13,111,51
90,8591600_5541200,0.18055555555555555,26,118,324
91,8492400_5768400,0.12056737588652482,17,124,173
92,8337600_5491600,0.0,0,71,10
93,8953600_5840000,0.04,1,24,53
94,9602400_6071200,0.075,9,111,171
95,8336800_5494400,0.02666666666666667,2,73,50
96,9150000_5816800,0.25,1,3,273
97,8369600_5550800,0.1232876712328767,9,64,40
