Stage,epoch,train_loss,valid_loss,acc_camvid,time
1,0,0.265417,0.243372,0.324725,3:31
,1,0.246922,0.250347,0.514362,3:17
,2,0.232454,0.220808,0.490394,3:17
,3,0.227873,0.216771,0.508521,3:17
,4,0.229264,0.215252,0.536646,3:18
,5,0.226656,0.218778,0.496708,3:18
,6,0.232239,0.217728,0.561472,3:18
,7,0.228866,0.212635,0.578099,3:18
,8,0.213661,0.208962,0.576201,3:19
,9,0.206083,0.197514,0.572087,3:18
,0,0.206849,0.196173,0.561892,3:37
2,1,0.195588,0.196012,0.578121,3:30
,2,0.19429,0.194718,0.584786,3:30
,3,0.203412,0.193067,0.568944,3:31
,4,0.193004,0.192269,0.571688,3:31
,5,0.202558,0.192248,0.574433,3:31
,6,0.20217,0.192402,0.561554,3:31
,7,0.186901,0.194372,0.536761,3:34
,8,0.204457,0.191367,0.547763,3:31
,9,0.19648,0.192179,0.604182,3:31
,10,0.198466,0.188872,0.583192,3:33
,11,0.189747,0.187465,0.589023,3:31
3,0,0.192988,0.194877,0.563373,11:03
,1,0.206289,0.18978,0.586875,11:00
,2,0.19793,0.188354,0.594897,11:00
,3,0.183384,0.187282,0.636533,11:01
,4,0.188211,0.18541,0.616907,11:01
,5,0.196201,0.183721,0.607978,11:03
,6,0.195956,0.181219,0.601281,11:01
,7,0.180226,0.181549,0.616118,11:01
,8,0.195746,0.17934,0.641098,11:00
,9,0.180412,0.176606,0.623988,11:01
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
