Loc_ID,Pix_GT,Pix_HR
8286400_5496400,14922,1785
8286400_5497200,13582,2205
8286800_5495600,14665,1192
8286800_5496000,24144,2951
8286800_5496400,23739,3051
8286800_5496800,25474,3053
8286800_5497200,7154,2351
8286800_5498400,7162,2168
8287200_5496400,16678,2480
8287200_5497600,23499,1504
8287200_5498000,26297,5156
8287600_5497200,23925,1895
8287600_5497600,24139,977
8287600_5498400,19197,2474
8287600_5498800,25212,1784
8287600_5499200,11349,2252
8288000_5494400,16230,3594
8288000_5494800,18731,5504
8288000_5496400,31174,5137
8288000_5498000,24080,2906
8288000_5498800,23203,2891
8288400_5494000,24861,3546
8288400_5494800,3710,4385
8288400_5495600,7331,3706
8288400_5496000,27231,6703
8288400_5496400,27745,4353
8288400_5498000,29003,2796
8288400_5498400,28999,3938
8288400_5499200,12849,823
8288800_5493600,23574,13396
8288800_5494000,18157,5767
8288800_5498800,15538,4497
8288800_5499200,229,0
8289200_5493200,40267,26944
8289200_5493600,27577,17412
8289200_5494000,18899,3549
8289200_5494400,20800,4092
8289200_5496000,28520,14538
8289200_5497200,60218,18270
8289200_5497600,54489,8058
8289200_5498000,51006,13382
8289200_5499200,6197,794
8289600_5493200,17423,6710
8289600_5494800,30983,6793
8289600_5496800,31224,16661
8289600_5498000,29925,7257
8289600_5498400,26144,4507
8289600_5498800,19624,2585
8290000_5493600,16855,4412
8290000_5495600,32326,7861
8290000_5496400,28153,5642
8290000_5496800,34030,13672
8290000_5497200,32902,15383
8290000_5498000,22821,4526
8290000_5498800,23723,9501
8290000_5499200,19038,2039
8290400_5494000,1510,360
8290400_5494800,21348,5061
8290400_5496000,25565,4244
8290400_5496400,19623,9018
8290400_5496800,28446,6539
8290400_5497600,26548,5841
8290400_5498000,30266,7620
8290400_5498800,44922,13730
8290400_5499200,24470,5179
8290800_5496000,37374,13115
8290800_5496800,24501,2679
8290800_5497200,26531,4662
8290800_5498400,23243,14370
8290800_5498800,21214,10595
8290800_5499200,30680,12307
8291200_5494800,16655,1256
8291200_5497200,19949,2512
8291200_5497600,19551,3791
8291200_5498000,20134,5710
8291200_5498400,21598,4753
8291600_5495600,17587,5168
8291600_5496000,28708,9231
8291600_5496400,47224,27862
8291600_5496800,34688,13433
8291600_5498000,21263,3908
8291600_5498800,11538,6363
8291600_5499200,20908,3690
8291600_5499600,20815,3632
8292400_5499200,20274,3654
8332800_5494000,8761,124
8333200_5493200,1977,672
8333600_5491200,10432,5418
8333600_5491600,13956,4517
8333600_5492000,87,133
8333600_5492400,12689,1364
8333600_5492800,3618,3021
8333600_5494000,1364,577
8334000_5491200,4147,3298
8334000_5491600,4855,1091
8334000_5492400,4365,1197
8334000_5493200,10814,552
8334000_5494400,1086,244
8334000_5494800,4828,2295
8334400_5490000,5807,3916
8334400_5490400,47052,25689
8334400_5491600,3590,2496
8334400_5492800,188,1329
8334400_5493200,8586,4285
8334400_5494000,8607,4418
8334400_5494400,1913,2077
8334400_5494800,1029,629
8334400_5496400,208,382
8334400_5496800,12475,527
8334800_5489600,1289,272
8334800_5490800,4591,1398
8334800_5491600,12975,201
8334800_5492000,1377,732
8334800_5492400,10391,3943
8334800_5493600,16599,8739
8334800_5494400,14396,2834
8334800_5494800,1944,264
8334800_5496800,3223,1281
8335200_5489600,888,70
8335200_5490000,1553,3697
8335200_5490400,2998,3607
8335200_5491200,4961,837
8335200_5491600,24057,5789
8335200_5493600,31086,14850
8335200_5494000,23584,12450
8335200_5496000,879,1307
8335200_5496400,5623,2185
8335600_5490400,799,308
8335600_5492000,10626,3361
8335600_5492400,15898,4454
8335600_5493200,93112,35671
8335600_5493600,50723,26331
8335600_5494000,40174,13048
8335600_5496000,1017,366
8336000_5490800,3382,132
8336000_5491200,30252,6976
8336000_5491600,27437,5788
8336000_5492000,57608,6916
8336000_5492400,34349,11440
8336000_5492800,47057,11422
8336000_5495600,3467,3153
8336400_5490000,10002,2510
8336400_5490800,9083,3824
8336400_5491200,22118,5099
8336400_5491600,36211,7582
8336400_5492000,22466,5049
8336400_5492400,45241,17980
8336400_5495600,3753,1215
8336800_5491600,8777,3929
8336800_5492000,15605,3400
8336800_5492800,3762,10284
8336800_5493600,957,6630
8336800_5494400,8978,3569
8336800_5494800,11331,2740
8336800_5495600,4483,757
8337200_5490400,498,758
8337200_5490800,1513,1581
8337200_5491200,5216,731
8337200_5492400,24411,7074
8337200_5493200,13131,16878
8337200_5494400,608,358
8337200_5494800,403,489
8337600_5490800,9988,1529
8337600_5491600,9317,14458
8337600_5492000,13985,2806
8337600_5492400,4908,2807
8337600_5492800,19200,4007
8337600_5493200,1884,1179
8337600_5493600,8840,5905
8337600_5494000,1799,867
8337600_5494800,303,444
8338000_5490800,17093,9780
8338000_5491200,8804,16454
8338000_5491600,3949,3508
8338000_5492000,3199,321
8338000_5492400,30,1795
8338000_5493600,34091,8538
8338000_5494000,533,437
8338400_5491600,3607,3634
8338400_5492000,7618,4617
8338400_5492800,242,137
8338400_5493200,129,476
8338400_5494000,357,434
8338800_5492800,2461,565
8338800_5493200,288,153
8339200_5491600,344,3791
8339200_5493200,583,591
8365200_5548800,1858,1403
8365600_5549200,5235,4814
8366000_5547600,52340,16233
8366000_5548400,795,2425
8366000_5548800,13958,1309
8366000_5549600,764,2683
8366400_5548000,18643,12627
8366400_5549200,6378,3491
8366800_5549200,3363,5771
8366800_5550400,2158,503
8367200_5548400,373,2242
8367200_5548800,789,4247
8367200_5550400,1613,7473
8367600_5548000,1215,2684
8367600_5548400,1557,2312
8367600_5549200,3826,4660
8367600_5550400,948,10098
8368000_5547200,1964,1057
8368000_5548400,1034,1440
8368000_5548800,1334,1038
8368000_5549200,26027,935
8368000_5549600,2609,3746
8368000_5550800,1846,1902
8368400_5548000,1995,2137
8368400_5550400,12468,9720
8368400_5550800,312,1611
8368800_5548800,5720,3122
8368800_5549200,650,1249
8368800_5549600,2178,3124
8368800_5551600,1401,1534
8369200_5548400,1092,1253
8369200_5550400,11225,10363
8369200_5551600,7737,7229
8369600_5548800,194,738
8369600_5549200,4188,2384
8369600_5549600,197,2663
8369600_5550800,15222,7169
8369600_5551600,5556,3802
8370000_5549200,3977,3499
8370000_5550400,5031,3606
8370000_5551200,25689,14296
8370400_5548000,4627,3211
8370400_5548400,3425,3020
8370400_5550400,15951,7593
8370400_5550800,42116,17553
8370400_5551200,11759,5375
8370800_5549200,55688,2025
8370800_5549600,416,1938
8370800_5550800,22886,2748
8370800_5551200,52646,234
8371200_5550400,3231,5555
8371200_5550800,17,2618
8488800_5770800,16026,5770
8488800_5771200,20354,7662
8488800_5771600,6875,2320
8488800_5772000,11570,5437
8488800_5773600,2356,3060
8489200_5771600,500,122
8489200_5772000,397,0
8489200_5773200,5585,2803
8489200_5774400,4801,1498
8489600_5771200,17874,3487
8489600_5773200,1387,193
8489600_5774400,4113,926
8489600_5774800,1788,640
8490000_5770000,50203,20230
8490000_5770800,27700,10536
8490000_5771600,10287,4483
8490000_5772000,1507,1093
8490000_5772800,22789,9715
8490000_5773600,19104,7449
8490000_5774000,7195,3344
8490000_5774800,13111,4138
8490400_5768800,35776,14742
8490400_5769200,43292,16556
8490400_5770000,37167,26067
8490400_5771600,21933,7717
8490400_5773600,18567,6793
8490400_5774000,25316,8527
8490400_5774800,32795,8841
8490400_5775200,25701,10804
8490400_5775600,28750,10683
8490800_5769600,45721,19350
8490800_5771600,16849,5260
8490800_5772800,15065,7929
8490800_5773200,812,992
8490800_5774000,26942,11380
8490800_5774400,27715,10556
8490800_5774800,12508,4698
8490800_5776000,12100,2090
8491200_5768000,15959,4740
8491200_5768400,27728,7895
8491200_5768800,28084,13926
8491200_5769600,46217,21070
8491200_5770000,37174,17117
8491200_5771200,38085,18311
8491200_5771600,2530,124
8491200_5772000,24246,11701
8491200_5772400,34321,14764
8491200_5773200,89,0
8491200_5773600,14480,4830
8491200_5776400,608,202
8491600_5768800,30910,20844
8491600_5769200,26118,10831
8491600_5769600,47439,18093
8491600_5770000,38460,13694
8491600_5771600,25503,8144
8491600_5772000,30628,15099
8491600_5772800,13221,7218
8491600_5773200,209,53
8491600_5774000,33581,13108
8491600_5775200,176,220
8491600_5775600,634,0
8491600_5776000,441,0
8491600_5776800,40936,17641
8492000_5767600,44633,18698
8492000_5768000,44219,31465
8492000_5768400,34851,9687
8492000_5768800,43625,21654
8492000_5769200,26388,9447
8492000_5770000,44135,19798
8492000_5771200,38408,14993
8492000_5771600,25690,9720
8492000_5774000,23327,10377
8492000_5774800,6229,1645
8492000_5775200,3481,845
8492000_5776000,5729,1718
8492000_5776800,26469,11350
8492400_5767200,48935,15916
8492400_5768000,43232,24319
8492400_5768400,36036,17230
8492400_5769600,29775,18259
8492400_5770000,49017,18916
8492400_5771600,3232,681
8492400_5772400,44634,23058
8492400_5772800,49303,21047
8492400_5773200,55590,25512
8492400_5774000,20986,6611
8492400_5774400,29077,11490
8492400_5774800,20036,5795
8492400_5776800,29730,13597
8492400_5777200,26752,9262
8492800_5767600,49018,19206
8492800_5768400,58357,25341
8492800_5769200,58906,26937
8492800_5771200,1499,600
8492800_5772400,58318,35865
8492800_5773200,69258,27591
8492800_5773600,54945,26941
8492800_5775200,38996,16562
8492800_5776000,96,0
8492800_5776400,1773,1083
8492800_5776800,29771,14416
8492800_5777600,6783,2795
8493200_5767600,46737,15584
8493200_5768000,55125,30364
8493200_5768400,51014,15643
8493200_5768800,57491,23289
8493200_5769200,47618,22224
8493200_5769600,43274,17107
8493200_5770000,27496,12253
8493200_5770800,910,403
8493200_5772000,260,633
8493200_5772400,35303,16327
8493200_5773600,58162,22168
8493200_5774000,31828,17839
8493200_5774400,44517,21879
8493200_5774800,32550,10560
8493200_5776000,188,0
8493200_5776400,9004,6129
8493200_5776800,37611,14078
8493200_5777200,35518,13725
8493600_5767200,48392,19951
8493600_5768400,51776,10362
8493600_5768800,49843,24278
8493600_5769600,41335,21306
8493600_5772800,58276,32952
8493600_5773600,10311,6616
8493600_5774000,42793,25053
8493600_5774400,43135,20214
8493600_5774800,36388,12149
8493600_5775600,14065,2174
8493600_5776000,19573,6244
8493600_5777600,24502,14030
8494000_5766000,18358,8453
8494000_5766800,46750,17002
8494000_5767200,42189,15893
8494000_5767600,41333,16140
8494000_5768000,44232,25555
8494000_5768800,28622,13086
8494000_5769200,33005,12336
8494000_5769600,59703,23243
8494000_5771200,11677,6468
8494000_5771600,34938,20286
8494000_5772000,62479,35460
8494000_5772800,46792,26781
8494000_5773200,25144,12895
8494000_5773600,41878,23256
8494000_5774000,52378,24833
8494000_5774800,32412,12031
8494000_5775600,50941,19732
